file,lambda_nm,z_um
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+50\tif\1_666.tiff,666,50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+50\1_666.tiff,666,50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+60\tif\1_666.tiff,666,60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+60\1_666.tiff,666,60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+70\tif\1_666.tiff,666,70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+70\1_666.tiff,666,70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+80\tif\1_666.tiff,666,80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+80\1_666.tiff,666,80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-110\tif\1_684.tiff,684,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-110\1_684.tiff,684,-110.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-100\tif\1_684.tiff,684,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-100\1_684.tiff,684,-100.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-90\tif\1_684.tiff,684,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-90\1_684.tiff,684,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-80\tif\1_684.tiff,684,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-80\1_684.tiff,684,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-70\tif\1_684.tiff,684,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-70\1_684.tiff,684,-70.0
